,G_MO,G_NOD,G_R,G_Rnd,R_D,Y
1996-03-31,0.004181975068696005,0.004585190265269002,0.18074586241318327,0.1803426472166103,0.016338133964131626,0.988991855158461
1996-06-30,0.004131834805043952,0.004527351540525578,0.1804337918386413,0.1800382751031597,0.01648391674294288,0.9965880343306885
1996-09-30,0.00409098438573335,0.004478757740929883,0.17934554445224848,0.17895777109705194,0.01668565216284203,0.9965686986826617
1996-12-31,0.004042531195776178,0.004429145057894639,0.1790797825669358,0.17869316870481733,0.01679619760607279,0.9979193645387744
1997-03-31,0.003995752299950589,0.004383758748712619,0.17643736310695377,0.1760493566581917,0.017223796693159463,0.9953264014638178
1997-06-30,0.003960409345991076,0.004357344915919797,0.17762007433533158,0.17722313876540285,0.01733685553616911,1.0027949752366672
1997-09-30,0.003910915781842651,0.004324400581776122,0.1767243326708912,0.17631084787095772,0.017445109545058284,1.0061645042174359
1997-12-31,0.00386148857230511,0.004297426081953341,0.1767981280905525,0.17636219058090424,0.017237198572285565,1.0056283335231544
1998-03-31,0.003814123062033607,0.004282771115375514,0.17420277093836808,0.17373412288502618,0.017547509136806836,1.0066033410840498
1998-06-30,0.003763920858884653,0.004269039666739268,0.17624818716048754,0.17574306835263295,0.01779657033558172,1.0068363701543843
1998-09-30,0.003706768583194867,0.004254918342598579,0.17656470954671682,0.17601655978731312,0.018051830061656317,1.0104541483524492
1998-12-31,0.003653663005961762,0.004254577132571632,0.1767357647840681,0.17613485065745824,0.018193967236082843,1.0176549716627177
1999-03-31,0.003599597074179073,0.004257806637755218,0.1769795042962881,0.17632129473271196,0.01827040017712231,1.0182214171166102
1999-06-30,0.0035528922759625807,0.004267915586161714,0.17752761581177698,0.17681259250157785,0.018653646076088635,1.0178514954949325
1999-09-30,0.003515178785022171,0.004284506802596994,0.17952577528007943,0.17875644726250464,0.019023450882438453,1.02252919560493
1999-12-31,0.0034800542653528692,0.004301560255487017,0.18198751832228235,0.1811660123321482,0.019384605930150973,1.030543352361936
2000-03-31,0.003449275804347291,0.004319695979971616,0.18009934816467976,0.17922892798905543,0.0198989660484653,1.025694910674592
2000-06-30,0.0034306293003935396,0.004335894946071929,0.18078870585194692,0.17988344020626854,0.019832655992955688,1.0358317175671443
2000-09-30,0.003424349470797488,0.004345430895755825,0.1792047646931441,0.17828368326818572,0.020083562429567756,1.0285573724193982
2000-12-31,0.0034290782493318645,0.004354122766162526,0.1796570427720015,0.17873199825517083,0.020085388111720448,1.0265342158920112
2001-03-31,0.003440253342913445,0.0043509314544310064,0.18139608419059225,0.1804854060790747,0.019786304880352806,1.0152268094370345
2001-06-30,0.003464812662426834,0.00435167615088812,0.1828349618462216,0.1819480983577603,0.01957269076578348,1.0137905645169507
2001-09-30,0.00350827581850104,0.004361609537804366,0.18121124035579758,0.18035790663649426,0.019123885718451694,1.002177285444485
2001-12-31,0.0035659396439493046,0.004376669702603047,0.18290403248691103,0.1820933024282573,0.018702748940803707,0.9975484089019111
2002-03-31,0.0037165634079859883,0.0044114974210809465,0.18520565621539425,0.1845107222022993,0.018157929346422522,0.9986435141537153
2002-06-30,0.0038184861912263965,0.004434619353776942,0.18627032334389834,0.18565419018134782,0.017962150979918278,0.9976390782187019
2002-09-30,0.0039009337340298153,0.004451896702686083,0.1863874034893092,0.18583644052065298,0.017678449205007343,0.9947073120051272
2002-12-31,0.003965619202461337,0.004466016177679468,0.1875937826945161,0.18709338571929796,0.01762003623584827,0.989118587344176
2003-03-31,0.004020545366027943,0.004480864576946723,0.18795678361010534,0.18749646439918657,0.017520678998232963,0.9876471282612656
2003-06-30,0.004084283481970499,0.004490961922934486,0.18829990525351278,0.18789322681254883,0.017553319454861216,0.9898145524678122
2003-09-30,0.004143287855804389,0.00448072518451476,0.18777695872796255,0.18743952139925213,0.01745244188043339,0.9997504839746558
2003-12-31,0.004204376265940285,0.004457738337679722,0.18796529181533952,0.18771192974360013,0.017352484883030362,1.0049318043266315
2004-03-31,0.0042631715414037505,0.004418496134827217,0.1883421882061772,0.18818686361275375,0.017120409036066448,1.0043408663130469
2004-06-30,0.004312280869801798,0.004381710551782276,0.18842003161562645,0.18835060193364597,0.01707463572580889,1.0059675757635829
2004-09-30,0.004362693210360494,0.004360396192498702,0.18894538807565614,0.18894768509351798,0.017128698122677866,1.0094824990654656
2004-12-31,0.0044011992889304115,0.004337746912274996,0.18893811144596376,0.18900156382261918,0.017167428988061107,1.0138794657793138
2005-03-31,0.004433374819485046,0.004320001525945413,0.189270326336613,0.1893836996301526,0.01764583457631588,1.0193445516777835
2005-06-30,0.0044533135387413506,0.004301632203793425,0.18887306218927732,0.18902474352422527,0.017633112860601572,1.018776358187529
2005-09-30,0.004450306033483764,0.0042703292790389,0.1893928957816865,0.18957287253613136,0.01767541136819834,1.0213169481825297
2005-12-31,0.004437103585030975,0.004238651627370596,0.1894470850591526,0.18964553701681294,0.017370450777794682,1.0217211623130797
2006-03-31,0.004415579662279596,0.004206771536863628,0.19106443524047112,0.19127324336588708,0.017607086020878814,1.030339298560161
